detail_id,order_id,item_id,quantity,note
82,35,27,1,Thêm đồ ăn phụ
83,36,252,2,Nhiều nước
84,36,258,1,Nhiều nước
85,37,385,1,
86,37,390,1,Không hành
87,37,382,1,
88,38,545,3,Thêm đồ ăn phụ
89,38,539,1,
90,38,534,3,
91,38,533,2,Thêm đồ ăn phụ
92,39,409,1,Không hành
93,39,407,2,Không hành
94,39,404,1,
95,39,403,3,
96,40,536,2,Thêm đồ ăn phụ
97,40,542,2,Không hành
98,41,82,3,Thêm đồ ăn phụ
99,41,91,1,Không hành
100,42,213,3,Thêm đồ ăn phụ
101,42,208,2,
102,43,94,1,Nhiều nước
103,43,92,1,
104,43,82,2,
105,44,67,2,Nhiều nước
106,44,62,2,Không hành
107,45,15,3,Không hành
108,45,18,1,Nhiều nước
109,46,394,1,
110,47,171,1,Thêm đồ ăn phụ
111,47,162,3,Không hành
112,47,175,2,Thêm đồ ăn phụ
113,47,174,1,Nhiều nước
114,48,68,1,Không hành
115,48,66,1,Không hành
116,48,64,2,Không hành
117,49,52,2,
118,49,45,1,Không hành
119,49,51,2,Không hành
120,49,54,3,Nhiều nước
121,50,558,2,Nhiều nước
122,50,561,2,
123,50,555,1,Nhiều nước
124,51,570,1,Thêm đồ ăn phụ
125,51,564,3,Thêm đồ ăn phụ
126,51,569,1,Không hành
127,52,473,2,Nhiều nước
128,52,471,1,Nhiều nước
129,53,46,2,Thêm đồ ăn phụ
130,53,52,2,Nhiều nước
131,53,47,1,Không hành
132,54,184,2,
133,54,176,1,Nhiều nước
134,54,179,1,
135,55,306,2,Thêm đồ ăn phụ
136,55,310,3,
137,56,549,3,
138,56,552,3,Không hành
139,56,553,2,
140,57,381,2,Không hành
141,57,380,2,Không hành
142,57,385,2,Không hành
143,58,267,1,Nhiều nước
144,58,264,3,Không hành
145,58,263,3,Thêm đồ ăn phụ
146,58,265,2,Thêm đồ ăn phụ
147,59,125,1,Nhiều nước
148,60,302,3,Nhiều nước
149,61,236,3,Thêm đồ ăn phụ
150,62,509,1,Thêm đồ ăn phụ
151,63,567,3,Nhiều nước
152,63,570,2,Thêm đồ ăn phụ
153,64,411,2,Nhiều nước
154,64,414,2,Không hành
155,65,95,1,Không hành
156,65,99,1,Nhiều nước
157,66,525,2,
158,66,522,2,
159,66,519,3,Không hành
160,66,520,3,
161,67,43,1,Thêm đồ ăn phụ
162,68,171,2,Nhiều nước
163,68,164,1,Nhiều nước
164,69,384,1,
165,69,385,2,Thêm đồ ăn phụ
166,69,387,3,Nhiều nước
167,70,157,1,Không hành
168,70,156,1,Thêm đồ ăn phụ
169,70,158,2,Nhiều nước
170,70,153,2,Không hành
171,71,531,2,Không hành
172,71,530,1,Thêm đồ ăn phụ
173,71,525,2,Không hành
174,71,527,2,
175,72,196,2,Nhiều nước
176,72,186,1,Không hành
177,72,190,3,Không hành
178,73,276,1,
179,73,277,3,Không hành
180,74,261,1,
181,74,270,3,Nhiều nước
182,75,174,2,Nhiều nước
183,76,292,1,Thêm đồ ăn phụ
184,76,297,2,Nhiều nước
185,77,411,2,Nhiều nước
186,77,413,2,Không hành
187,77,416,2,
188,77,418,2,Nhiều nước
189,78,288,1,
190,78,280,1,Không hành
191,78,283,1,Nhiều nước
192,79,416,2,Không hành
193,79,414,1,Thêm đồ ăn phụ
194,79,421,3,Nhiều nước
195,80,169,1,
196,80,175,2,
197,80,172,2,Không hành
198,80,173,1,Không hành
199,81,21,2,
200,81,25,2,Thêm đồ ăn phụ
201,81,22,3,Thêm đồ ăn phụ
202,81,19,3,Thêm đồ ăn phụ
203,82,458,2,Không hành
204,82,460,1,Nhiều nước
205,82,454,1,Thêm đồ ăn phụ
206,83,446,1,Không hành
207,84,495,1,Thêm đồ ăn phụ
208,85,428,1,
209,85,427,3,Không hành
210,85,435,1,Không hành
211,86,229,3,Nhiều nước
212,87,148,3,Nhiều nước
213,87,139,2,Thêm đồ ăn phụ
214,87,143,3,
215,88,566,2,Thêm đồ ăn phụ
216,88,567,1,
217,88,569,1,Nhiều nước
218,88,564,2,Không hành
219,89,436,2,Thêm đồ ăn phụ
220,89,447,3,
221,89,448,3,
222,90,480,1,Không hành
223,90,483,1,Nhiều nước
224,91,134,3,Thêm đồ ăn phụ
225,91,125,3,
226,91,132,3,Nhiều nước
227,92,537,3,Không hành
228,93,79,2,
229,94,14,1,Không hành
230,94,16,2,Không hành
231,95,294,2,Nhiều nước
232,95,293,2,
233,95,298,2,Thêm đồ ăn phụ
234,96,25,3,Thêm đồ ăn phụ
235,96,24,1,Thêm đồ ăn phụ
236,97,137,3,Không hành
237,97,138,2,Không hành
238,97,145,2,Thêm đồ ăn phụ
239,98,6,1,Thêm đồ ăn phụ
240,98,8,2,Không hành
241,98,1,2,Không hành
242,99,346,3,Nhiều nước
243,100,283,3,Không hành
244,100,288,3,Không hành
245,101,248,1,Thêm đồ ăn phụ
246,101,258,2,
247,101,250,1,Không hành
248,101,251,1,Nhiều nước
249,102,286,1,Thêm đồ ăn phụ
250,102,282,1,Nhiều nước
251,102,280,2,Thêm đồ ăn phụ
252,102,285,3,Nhiều nước
253,103,115,2,
254,103,119,3,Không hành
255,103,121,1,Nhiều nước
256,104,353,3,
257,104,345,2,
258,104,349,2,
259,105,285,3,Nhiều nước
260,105,283,3,Thêm đồ ăn phụ
261,105,280,2,Thêm đồ ăn phụ
262,106,393,1,Thêm đồ ăn phụ
263,107,537,2,Thêm đồ ăn phụ
264,107,533,1,Thêm đồ ăn phụ
265,107,534,2,Nhiều nước
266,108,399,1,Không hành
267,109,161,3,
268,109,163,2,
269,109,170,2,Thêm đồ ăn phụ
270,110,304,3,Không hành
271,110,309,3,
272,110,308,2,Nhiều nước
273,111,23,1,
274,111,19,2,Không hành
275,111,22,2,Thêm đồ ăn phụ
276,112,332,3,
277,112,330,2,Thêm đồ ăn phụ
278,113,499,3,Nhiều nước
279,114,316,3,Nhiều nước
280,115,272,2,Không hành
281,116,196,3,Thêm đồ ăn phụ
282,117,111,2,Nhiều nước
283,118,460,3,Nhiều nước
284,119,504,3,Không hành
285,120,126,3,Nhiều nước
286,121,73,3,
287,121,77,1,
288,122,525,2,
289,123,367,1,Thêm đồ ăn phụ
290,124,349,2,Nhiều nước
291,124,350,1,Thêm đồ ăn phụ
292,124,340,2,Thêm đồ ăn phụ
293,125,13,3,Thêm đồ ăn phụ
294,125,18,2,Nhiều nước
295,125,11,3,Thêm đồ ăn phụ
296,126,430,2,Nhiều nước
297,126,434,3,Không hành
298,127,471,3,
299,127,476,2,Không hành
300,127,475,2,Không hành
301,127,469,1,Không hành
302,128,1,1,Thêm đồ ăn phụ
303,128,4,3,
304,128,6,2,
305,129,117,3,Thêm đồ ăn phụ
306,129,115,1,Không hành
307,129,119,3,
308,129,122,1,Thêm đồ ăn phụ
309,130,31,2,
310,131,432,3,Không hành
311,132,444,2,Thêm đồ ăn phụ
312,133,368,2,
313,134,314,1,Không hành
314,134,312,2,Thêm đồ ăn phụ
315,135,228,1,Thêm đồ ăn phụ
316,135,234,3,Nhiều nước
317,135,230,3,Nhiều nước
318,135,231,3,Thêm đồ ăn phụ
319,136,317,1,Nhiều nước
320,136,311,2,Không hành
321,137,205,1,Nhiều nước
322,137,208,2,
323,137,212,1,Không hành
324,137,203,1,Thêm đồ ăn phụ
325,138,278,2,Thêm đồ ăn phụ
326,138,273,1,Nhiều nước
327,139,432,1,Thêm đồ ăn phụ
328,140,44,1,Thêm đồ ăn phụ
329,140,42,2,Không hành
330,140,38,2,Thêm đồ ăn phụ
331,141,308,1,Thêm đồ ăn phụ
332,142,79,2,Không hành
333,143,333,2,
334,143,328,1,Không hành
335,143,324,2,Nhiều nước
336,143,338,1,Thêm đồ ăn phụ
337,144,566,1,Không hành
338,144,569,2,Không hành
339,145,157,1,Không hành
340,145,155,2,
341,146,140,1,
342,146,150,1,
343,146,143,1,Không hành
344,146,146,1,Nhiều nước
345,147,268,1,
346,148,310,3,Nhiều nước
347,149,122,1,
348,149,121,3,Không hành
349,150,293,1,Không hành
350,150,296,1,Nhiều nước
351,151,246,1,Nhiều nước
352,152,52,2,Nhiều nước
353,153,216,2,
354,153,219,2,Nhiều nước
355,153,222,3,Không hành
356,154,521,1,Thêm đồ ăn phụ
357,155,381,2,Không hành
358,155,382,3,
359,156,110,2,Không hành
360,156,108,2,Thêm đồ ăn phụ
361,156,106,3,Nhiều nước
362,156,109,1,Thêm đồ ăn phụ
363,157,567,2,
364,157,565,3,Không hành
365,158,222,1,Nhiều nước
366,159,132,3,
367,159,131,3,Thêm đồ ăn phụ
368,160,459,1,Thêm đồ ăn phụ
369,160,457,1,Nhiều nước
370,161,223,1,
371,161,224,2,Không hành
372,162,175,1,Không hành
373,162,167,1,Nhiều nước
374,163,567,3,Nhiều nước
375,163,569,1,
376,163,570,3,Thêm đồ ăn phụ
377,164,304,1,Thêm đồ ăn phụ
378,164,303,1,Nhiều nước
379,164,308,3,Nhiều nước
380,164,301,2,
381,165,291,1,Nhiều nước
382,166,527,1,
383,166,526,3,
384,166,528,3,
385,166,524,1,Không hành
386,167,531,1,Nhiều nước
387,167,525,3,Nhiều nước
388,167,527,3,
389,167,526,1,Không hành
390,168,252,1,Thêm đồ ăn phụ
391,168,255,2,Thêm đồ ăn phụ
392,169,359,1,
393,169,358,3,Nhiều nước
394,170,260,2,
395,170,250,1,Không hành
396,170,259,3,Thêm đồ ăn phụ
397,171,118,1,
398,172,290,2,
399,173,189,2,Không hành
400,173,199,1,
401,174,133,3,Thêm đồ ăn phụ
402,174,132,2,Nhiều nước
403,174,129,2,Thêm đồ ăn phụ
404,174,127,1,Thêm đồ ăn phụ
405,175,169,1,Thêm đồ ăn phụ
406,175,166,3,Không hành
407,175,162,2,Thêm đồ ăn phụ
408,175,170,3,
409,176,249,2,
410,176,258,3,Thêm đồ ăn phụ
411,177,287,2,Không hành
412,177,289,3,Nhiều nước
413,177,283,1,Thêm đồ ăn phụ
414,178,454,3,Không hành
415,178,460,1,
416,179,421,1,
417,179,417,2,Thêm đồ ăn phụ
418,179,412,1,Nhiều nước
419,179,415,2,Nhiều nước
420,180,235,3,
421,180,244,3,Thêm đồ ăn phụ
422,180,247,1,Không hành
423,181,413,3,Nhiều nước
424,181,420,1,Không hành
425,182,567,1,Thêm đồ ăn phụ
426,182,570,2,
427,182,569,2,Không hành
428,183,334,3,
429,184,349,3,Thêm đồ ăn phụ
430,185,286,2,Nhiều nước
431,185,282,2,Nhiều nước
432,186,224,1,Không hành
433,186,214,1,Thêm đồ ăn phụ
434,186,222,3,Không hành
435,187,33,3,
436,188,229,1,
437,188,226,2,
438,188,233,1,Thêm đồ ăn phụ
439,188,234,1,Nhiều nước
440,189,460,3,Thêm đồ ăn phụ
441,189,455,2,
442,189,454,2,Nhiều nước
443,189,456,2,Thêm đồ ăn phụ
444,190,281,3,
445,190,289,1,Không hành
446,190,282,2,
447,190,280,1,Thêm đồ ăn phụ
448,191,179,1,
449,191,183,2,Nhiều nước
450,191,184,1,
451,192,314,3,Thêm đồ ăn phụ
452,193,29,1,Không hành
453,193,35,2,Nhiều nước
454,194,101,3,
455,195,504,3,
456,196,346,2,Thêm đồ ăn phụ
457,196,350,2,Nhiều nước
458,196,342,2,Không hành
459,196,349,2,Thêm đồ ăn phụ
460,197,107,2,Không hành
461,197,105,2,Không hành
462,197,103,3,Thêm đồ ăn phụ
463,197,110,1,Nhiều nước
464,198,326,1,Không hành
465,198,335,3,Không hành
466,198,332,3,Không hành
467,198,327,3,Thêm đồ ăn phụ
468,199,222,3,Nhiều nước
469,199,216,1,Nhiều nước
470,199,220,1,Không hành
471,200,126,2,
472,200,134,3,
473,200,125,1,
474,200,130,1,
475,201,252,2,Thêm đồ ăn phụ
476,201,249,3,Nhiều nước
477,202,105,3,Thêm đồ ăn phụ
478,202,111,3,Không hành
479,202,113,1,Không hành
480,202,110,2,
481,203,268,2,Thêm đồ ăn phụ
482,203,261,2,
483,204,100,3,
484,204,97,2,Nhiều nước
485,205,376,1,Thêm đồ ăn phụ
486,205,386,2,Nhiều nước
487,206,86,2,Không hành
488,207,304,3,Không hành
489,208,229,1,Không hành
490,209,548,3,Nhiều nước
491,210,51,3,Không hành
492,211,525,3,
493,211,522,2,Không hành
494,212,125,1,Không hành
495,212,128,2,Thêm đồ ăn phụ
496,213,499,1,Nhiều nước
497,213,498,2,
498,214,230,3,Thêm đồ ăn phụ
499,215,546,2,Nhiều nước
500,215,551,2,Thêm đồ ăn phụ
501,216,276,3,Không hành
502,216,274,2,Thêm đồ ăn phụ
503,217,409,2,
504,217,405,2,
505,217,408,1,Thêm đồ ăn phụ
506,217,403,3,Nhiều nước
507,218,359,2,Nhiều nước
508,218,364,3,
509,219,267,2,Không hành
510,219,264,2,Nhiều nước
511,219,269,2,Thêm đồ ăn phụ
512,220,158,1,Thêm đồ ăn phụ
513,221,336,2,Không hành
514,221,338,2,
515,222,450,3,
516,223,211,1,Không hành
517,223,200,2,
518,223,213,1,Nhiều nước
519,224,559,2,Thêm đồ ăn phụ
520,224,556,1,Không hành
521,224,560,2,
522,224,562,1,
523,225,277,3,
524,225,272,3,Thêm đồ ăn phụ
525,225,273,2,
526,226,87,2,Thêm đồ ăn phụ
527,227,510,2,Không hành
528,228,510,1,Không hành
529,229,17,3,
530,229,10,1,Không hành
531,229,9,3,Nhiều nước
532,229,18,1,Thêm đồ ăn phụ
533,230,465,1,Không hành
534,230,464,3,Thêm đồ ăn phụ
535,231,469,2,
536,232,503,3,Không hành
537,232,505,3,Thêm đồ ăn phụ
538,232,498,1,
539,233,444,1,
540,233,440,3,
541,233,446,1,
542,234,543,2,Thêm đồ ăn phụ
543,234,536,1,Thêm đồ ăn phụ
544,235,144,1,
545,236,342,2,Nhiều nước
546,236,340,1,
547,237,566,3,Thêm đồ ăn phụ
548,237,569,1,Không hành
549,237,565,3,Nhiều nước
550,238,406,2,
551,239,397,2,Nhiều nước
552,239,393,2,Thêm đồ ăn phụ
553,239,401,1,Nhiều nước
554,240,506,2,Không hành
555,240,500,3,Không hành
556,240,502,1,Nhiều nước
557,241,183,3,Thêm đồ ăn phụ
558,241,181,3,Nhiều nước
559,242,59,3,
560,242,68,2,Không hành
561,242,60,1,Thêm đồ ăn phụ
562,242,57,1,Nhiều nước
563,243,43,2,Nhiều nước
564,244,346,2,Thêm đồ ăn phụ
565,245,451,1,Nhiều nước
566,245,457,2,
567,245,460,1,Không hành
568,245,454,3,
569,246,519,3,
570,246,518,3,Nhiều nước
571,246,528,1,Không hành
572,246,520,2,Thêm đồ ăn phụ
573,247,115,3,Thêm đồ ăn phụ
574,247,117,2,
575,248,473,1,Không hành
576,249,81,3,
577,249,79,2,Nhiều nước
578,250,292,3,Thêm đồ ăn phụ
579,250,299,2,Nhiều nước
580,250,291,3,Không hành
581,250,293,1,
582,251,270,1,
583,251,267,1,Không hành
584,252,375,2,Không hành
585,252,374,2,Không hành
586,252,366,2,Không hành
587,253,464,3,
588,254,181,2,
589,255,92,3,Thêm đồ ăn phụ
590,255,94,2,
591,255,84,2,
592,255,85,2,
593,256,239,2,Nhiều nước
594,256,242,3,Không hành
595,256,243,2,Thêm đồ ăn phụ
596,257,231,1,Thêm đồ ăn phụ
597,257,230,3,Nhiều nước
598,258,93,2,Không hành
599,258,90,2,Không hành
600,258,94,1,Thêm đồ ăn phụ
601,259,365,3,Thêm đồ ăn phụ
602,259,358,1,Thêm đồ ăn phụ
603,259,361,3,
604,260,362,1,Thêm đồ ăn phụ
605,260,360,1,Nhiều nước
606,261,29,1,Nhiều nước
607,261,32,1,
608,262,536,3,Thêm đồ ăn phụ
609,262,545,3,Thêm đồ ăn phụ
610,263,558,1,
611,263,559,3,Thêm đồ ăn phụ
612,263,561,2,
613,263,555,1,Không hành
614,264,157,1,Không hành
615,264,158,1,
616,265,274,2,Thêm đồ ăn phụ
617,265,276,2,
618,265,278,2,Nhiều nước
619,266,501,2,Thêm đồ ăn phụ
620,266,506,1,Thêm đồ ăn phụ
621,266,500,1,Nhiều nước
622,266,504,3,Nhiều nước
623,267,15,2,Nhiều nước
624,267,9,2,
625,267,16,2,Thêm đồ ăn phụ
626,268,381,1,Không hành
627,268,376,1,
628,269,116,1,
629,269,122,3,Không hành
630,270,449,3,
631,270,448,2,Thêm đồ ăn phụ
632,270,438,3,Không hành
633,271,168,1,
634,271,164,3,Không hành
635,271,175,1,
636,272,407,3,Nhiều nước
637,272,408,2,Nhiều nước
638,272,406,1,Nhiều nước
639,272,409,1,
