payment_id,order_id,amount,method,status
81,81,233000.0,COD,PENDING
82,82,53000.0,COD,PENDING
83,83,15000.0,MOMO,PENDING
84,84,15000.0,VNPAY,COMPLETED
85,85,113000.0,COD,PENDING
86,86,30000.0,MOMO,PENDING
87,87,171000.0,COD,PENDING
88,88,134000.0,MOMO,COMPLETED
89,89,286000.0,MOMO,COMPLETED
90,90,15000.0,VNPAY,COMPLETED
91,91,243000.0,COD,PENDING
92,92,49500.0,VNPAY,COMPLETED
93,93,32000.0,COD,PENDING
94,94,45000.0,MOMO,COMPLETED
95,95,90000.0,MOMO,COMPLETED
96,96,80000.0,VNPAY,COMPLETED
97,97,355000.0,COD,PENDING
98,98,84000.0,VNPAY,COMPLETED
99,99,12000.0,MOMO,PENDING
100,100,210000.0,MOMO,COMPLETED
101,101,135000.0,VNPAY,COMPLETED
102,102,227000.0,MOMO,COMPLETED
103,103,54000.0,COD,PENDING
104,104,395000.0,MOMO,PENDING
105,105,205000.0,COD,COMPLETED
106,106,5000.0,COD,COMPLETED
107,107,239000.0,MOMO,PENDING
108,108,5000.0,MOMO,PENDING
109,109,149000.0,MOMO,COMPLETED
110,110,426000.0,VNPAY,COMPLETED
111,111,92000.0,COD,PENDING
112,112,223000.0,VNPAY,PENDING
113,113,30000.0,VNPAY,COMPLETED
114,114,25500.0,VNPAY,PENDING
115,115,67500.0,MOMO,COMPLETED
116,116,180000.0,MOMO,PENDING
117,117,140000.0,VNPAY,COMPLETED
118,118,58650.0,COD,COMPLETED
119,119,120000.0,VNPAY,COMPLETED
120,120,114750.0,COD,COMPLETED
121,121,165000.0,MOMO,PENDING
122,122,18000.0,COD,PENDING
123,123,5000.0,COD,PENDING
124,124,262000.0,MOMO,COMPLETED
125,125,252000.0,VNPAY,PENDING
126,126,22000.0,VNPAY,PENDING
127,127,293000.0,MOMO,PENDING
128,128,217000.0,VNPAY,PENDING
129,129,91000.0,VNPAY,PENDING
130,130,100000.0,VNPAY,COMPLETED
131,131,210000.0,MOMO,COMPLETED
132,132,110000.0,VNPAY,PENDING
133,133,90000.0,COD,PENDING
134,134,89000.0,VNPAY,PENDING
135,135,184000.0,MOMO,PENDING
136,136,90000.0,VNPAY,PENDING
137,137,175000.0,VNPAY,PENDING
138,138,90000.0,VNPAY,PENDING
139,139,70000.0,VNPAY,COMPLETED
140,140,107000.0,MOMO,COMPLETED
141,141,18000.0,MOMO,COMPLETED
142,142,32000.0,MOMO,PENDING
143,143,178000.0,MOMO,COMPLETED
144,144,53000.0,COD,COMPLETED
145,145,165000.0,MOMO,PENDING
146,146,118000.0,MOMO,PENDING
147,147,55000.0,COD,PENDING
148,148,45000.0,VNPAY,COMPLETED
149,149,66750.0,VNPAY,COMPLETED
150,150,65000.0,MOMO,COMPLETED
151,151,5000.0,VNPAY,PENDING
152,152,30000.0,VNPAY,COMPLETED
153,153,335000.0,COD,PENDING
154,154,40000.0,VNPAY,COMPLETED
155,155,140000.0,COD,COMPLETED
156,156,116000.0,COD,PENDING
157,157,300000.0,VNPAY,COMPLETED
158,158,55000.0,VNPAY,COMPLETED
159,159,150000.0,MOMO,PENDING
160,160,75000.0,MOMO,PENDING
161,161,85000.0,COD,PENDING
162,162,15000.0,VNPAY,PENDING
163,163,454000.0,MOMO,COMPLETED
164,164,173000.0,MOMO,COMPLETED
165,165,15000.0,MOMO,COMPLETED
166,166,119000.0,VNPAY,PENDING
167,167,297000.0,MOMO,COMPLETED
168,168,125000.0,VNPAY,COMPLETED
169,169,148000.0,MOMO,PENDING
170,170,291000.0,MOMO,COMPLETED
171,171,40000.0,MOMO,PENDING
172,172,120000.0,COD,PENDING
173,173,60000.0,MOMO,PENDING
174,174,221000.0,MOMO,COMPLETED
175,175,292000.0,MOMO,PENDING
176,176,44000.0,MOMO,PENDING
177,177,50000.0,MOMO,COMPLETED
178,178,59000.0,MOMO,PENDING
179,179,276000.0,COD,PENDING
180,180,173000.0,MOMO,PENDING
181,181,230000.0,COD,PENDING
182,182,253000.0,COD,PENDING
183,183,30000.0,MOMO,PENDING
184,184,210000.0,VNPAY,COMPLETED
185,185,134000.0,COD,PENDING
186,186,244000.0,COD,COMPLETED
187,187,195000.0,COD,COMPLETED
188,188,137000.0,COD,COMPLETED
189,189,203000.0,VNPAY,COMPLETED
190,190,69000.0,VNPAY,PENDING
191,191,145000.0,VNPAY,COMPLETED
192,192,195000.0,MOMO,COMPLETED
193,193,74000.0,COD,PENDING
194,194,45000.0,MOMO,PENDING
195,195,120000.0,VNPAY,COMPLETED
196,196,262000.0,COD,COMPLETED
197,197,162000.0,MOMO,PENDING
198,198,490000.0,VNPAY,COMPLETED
199,199,187500.0,VNPAY,COMPLETED
200,200,176000.0,COD,COMPLETED
201,201,51000.0,MOMO,PENDING
202,202,337450.0,MOMO,PENDING
203,203,172000.0,VNPAY,COMPLETED
204,204,65000.0,MOMO,COMPLETED
205,205,25000.0,VNPAY,COMPLETED
206,206,10000.0,VNPAY,COMPLETED
207,207,210000.0,MOMO,COMPLETED
208,208,10000.0,COD,COMPLETED
209,209,45000.0,VNPAY,PENDING
210,210,48450.0,VNPAY,COMPLETED
211,211,157000.0,MOMO,PENDING
212,212,145350.0,COD,PENDING
213,213,20000.0,VNPAY,PENDING
214,214,60000.0,MOMO,COMPLETED
215,215,210000.0,MOMO,COMPLETED
216,216,40000.0,VNPAY,COMPLETED
217,217,222000.0,MOMO,COMPLETED
218,218,251000.0,VNPAY,PENDING
219,219,55500.0,COD,COMPLETED
220,220,9000.0,COD,PENDING
221,221,53200.0,MOMO,PENDING
222,222,15000.0,COD,PENDING
223,223,45000.0,VNPAY,PENDING
224,224,93750.0,COD,COMPLETED
225,225,150000.0,VNPAY,COMPLETED
226,226,10000.0,MOMO,COMPLETED
227,227,56000.0,COD,PENDING
228,228,28000.0,MOMO,PENDING
229,229,342000.0,COD,PENDING
230,230,27000.0,COD,PENDING
231,231,46000.0,VNPAY,COMPLETED
232,232,191000.0,MOMO,PENDING
233,233,220000.0,COD,PENDING
234,234,11000.0,COD,COMPLETED
235,235,5000.0,VNPAY,COMPLETED
236,236,120000.0,COD,PENDING
237,237,214000.0,VNPAY,COMPLETED
238,238,140000.0,COD,PENDING
239,239,105000.0,COD,PENDING
240,240,335000.0,VNPAY,PENDING
241,241,360000.0,MOMO,COMPLETED
242,242,140000.0,COD,COMPLETED
243,243,34000.0,MOMO,PENDING
244,244,8000.0,MOMO,COMPLETED
245,245,119000.0,MOMO,PENDING
246,246,173000.0,VNPAY,PENDING
247,247,26000.0,MOMO,PENDING
248,248,15000.0,MOMO,PENDING
249,249,227000.0,VNPAY,COMPLETED
250,250,88000.0,VNPAY,PENDING
251,251,50000.0,MOMO,PENDING
252,252,202000.0,COD,PENDING
253,253,15000.0,MOMO,COMPLETED
254,254,130000.0,VNPAY,COMPLETED
255,255,150000.0,VNPAY,PENDING
256,256,338000.0,VNPAY,COMPLETED
257,257,63000.0,VNPAY,PENDING
258,258,195000.0,VNPAY,COMPLETED
259,259,285000.0,COD,PENDING
260,260,43000.0,MOMO,PENDING
261,261,26000.0,COD,COMPLETED
262,262,42000.0,VNPAY,COMPLETED
263,263,173000.0,VNPAY,COMPLETED
264,264,74000.0,VNPAY,COMPLETED
265,265,110000.0,COD,COMPLETED
266,266,255000.0,VNPAY,COMPLETED
267,267,86000.0,MOMO,PENDING
268,268,60000.0,COD,PENDING
269,269,97000.0,COD,PENDING
270,270,224100.0,COD,PENDING
271,271,205000.0,MOMO,PENDING
272,272,140000.0,MOMO,PENDING
