log_id,order_id,status,updated_at
129,129,Đang xử lý,2026-05-06 09:45:07
130,130,Xác nhận,2026-04-05 12:20:07
131,131,Đang chuẩn bị,2026-03-14 21:54:07
132,132,Đã hủy,2026-04-27 08:50:07
133,133,Đang xử lý,2026-03-31 03:16:07
134,134,Đang xử lý,2026-03-29 03:22:07
135,135,Đang xử lý,2026-05-02 01:50:07
136,136,Đã hủy,2026-04-30 17:42:07
137,137,Đang giao,2026-03-21 03:38:07
138,138,Đang xử lý,2026-05-26 06:40:07
139,139,Đang chuẩn bị,2026-03-12 10:03:07
140,140,Đang xử lý,2026-03-09 18:56:07
141,141,Đang xử lý,2026-04-10 16:40:07
142,142,Đang giao,2026-03-09 04:52:07
143,143,Đã giao,2026-03-21 20:29:07
144,144,Đang xử lý,2026-03-27 22:25:07
145,145,Đang xử lý,2026-04-09 14:52:07
146,146,Đang giao,2026-04-19 18:01:07
147,147,Đang xử lý,2026-04-12 04:55:07
148,148,Đã giao,2026-06-02 09:05:07
149,149,Đã giao,2026-03-12 08:40:07
150,150,Đang xử lý,2026-04-13 20:50:07
151,151,Đang xử lý,2026-04-16 21:36:07
152,152,Đã giao,2026-03-28 04:45:07
153,153,Đang xử lý,2026-03-31 12:29:07
154,154,Đang xử lý,2026-03-12 09:14:07
155,155,Đang giao,2026-04-15 21:08:07
156,156,Đang giao,2026-03-31 08:32:07
157,157,Đang xử lý,2026-04-07 14:19:07
158,158,Đã giao,2026-03-31 11:29:07
159,159,Đang chuẩn bị,2026-03-08 02:27:07
160,160,Đang xử lý,2026-03-30 03:30:07
161,161,Đang xử lý,2026-05-15 10:35:07
162,162,Đang xử lý,2026-04-30 07:49:07
163,163,Đã giao,2026-05-30 04:31:07
164,164,Đang chuẩn bị,2026-04-29 18:45:07
165,165,Đang xử lý,2026-04-02 09:46:07
166,166,Đang xử lý,2026-03-09 19:03:07
167,167,Đang xử lý,2026-04-23 15:25:07
168,168,Đang giao,2026-05-15 12:09:07
169,169,Đang xử lý,2026-04-01 22:48:07
170,170,Đã giao,2026-03-06 22:11:07
171,171,Đang giao,2026-03-12 04:59:07
172,172,Đang xử lý,2026-05-07 02:37:07
173,173,Đang xử lý,2026-06-01 22:50:07
174,174,Đang chuẩn bị,2026-05-25 20:31:07
175,175,Xác nhận,2026-04-09 01:54:07
176,176,Đang chuẩn bị,2026-05-31 20:09:07
177,177,Đã giao,2026-03-18 16:40:07
178,178,Đang chuẩn bị,2026-04-01 18:54:07
179,179,Đang xử lý,2026-05-02 06:20:07
180,180,Đang xử lý,2026-03-29 17:13:07
181,181,Đã hủy,2026-05-22 20:25:07
182,182,Đang chuẩn bị,2026-05-14 14:57:07
183,183,Đang xử lý,2026-04-19 13:46:07
184,184,Đã giao,2026-03-23 23:32:07
185,185,Đang xử lý,2026-04-03 17:40:07
186,186,Đang chuẩn bị,2026-05-29 00:58:07
187,187,Đã giao,2026-05-23 04:30:07
188,188,Đã giao,2026-04-18 05:26:07
189,189,Đã giao,2026-05-11 01:55:07
190,190,Đang xử lý,2026-05-02 20:33:07
191,191,Đang xử lý,2026-04-16 12:35:07
192,192,Đang xử lý,2026-06-03 13:33:07
193,193,Đang xử lý,2026-04-09 14:53:07
194,194,Đang chuẩn bị,2026-05-13 17:29:07
195,195,Đã giao,2026-03-16 15:43:07
196,196,Đang xử lý,2026-04-28 21:13:07
197,197,Xác nhận,2026-04-12 03:13:07
198,198,Đã giao,2026-03-26 04:26:07
199,199,Đang xử lý,2026-03-11 13:31:07
200,200,Đã giao,2026-05-29 06:56:07
201,201,Xác nhận,2026-03-06 13:03:07
202,202,Đang giao,2026-05-18 06:18:07
203,203,Đã giao,2026-05-27 12:40:07
204,204,Đang xử lý,2026-03-21 04:24:07
205,205,Đã hủy,2026-04-22 17:17:07
206,206,Đã giao,2026-04-17 06:34:07
207,207,Xác nhận,2026-05-01 14:22:07
208,208,Đang xử lý,2026-05-16 00:09:07
209,209,Đang chuẩn bị,2026-04-22 21:34:07
210,210,Đang xử lý,2026-05-25 05:50:07
211,211,Đang chuẩn bị,2026-05-25 13:07:07
212,212,Đang chuẩn bị,2026-03-31 22:37:07
213,213,Đang chuẩn bị,2026-04-10 16:02:07
214,214,Xác nhận,2026-04-04 06:19:07
215,215,Đã giao,2026-04-14 03:12:07
216,216,Đang xử lý,2026-03-12 12:28:07
217,217,Đang chuẩn bị,2026-05-17 10:30:07
218,218,Đang chuẩn bị,2026-03-29 09:17:07
219,219,Đang chuẩn bị,2026-04-22 20:38:07
220,220,Đang chuẩn bị,2026-05-23 04:32:07
221,221,Xác nhận,2026-05-06 22:29:07
222,222,Đang xử lý,2026-05-27 18:18:07
223,223,Đang xử lý,2026-04-06 13:02:07
224,224,Đã giao,2026-03-26 02:27:07
225,225,Đã giao,2026-05-27 17:41:07
226,226,Đang xử lý,2026-04-22 15:46:07
227,227,Đang xử lý,2026-05-02 11:06:07
228,228,Đã hủy,2026-05-18 02:11:07
229,229,Đang giao,2026-03-22 05:57:07
230,230,Đang xử lý,2026-04-24 09:42:07
231,231,Đang giao,2026-05-09 11:00:07
232,232,Đang xử lý,2026-05-08 12:47:07
233,233,Đang chuẩn bị,2026-06-03 08:59:07
234,234,Xác nhận,2026-06-02 07:59:07
235,235,Đang xử lý,2026-05-05 02:49:07
236,236,Xác nhận,2026-04-06 04:04:07
237,237,Đã giao,2026-03-13 17:01:07
238,238,Đang chuẩn bị,2026-04-07 02:23:07
239,239,Đang giao,2026-04-13 06:00:07
240,240,Đang xử lý,2026-04-12 13:51:07
241,241,Đang chuẩn bị,2026-04-15 11:02:07
242,242,Đang xử lý,2026-05-08 23:54:07
243,243,Đang xử lý,2026-03-20 08:27:07
244,244,Đang xử lý,2026-03-07 02:53:07
245,245,Xác nhận,2026-04-22 10:11:07
246,246,Đang giao,2026-04-16 00:43:07
247,247,Đang giao,2026-05-26 11:29:07
248,248,Đang xử lý,2026-03-08 23:12:07
249,249,Đang xử lý,2026-03-07 05:37:07
250,250,Đang xử lý,2026-05-24 00:23:07
251,251,Đang xử lý,2026-05-17 17:33:07
252,252,Đang xử lý,2026-04-05 02:29:07
253,253,Đang chuẩn bị,2026-05-03 21:08:07
254,254,Đang xử lý,2026-04-18 05:10:07
255,255,Đang chuẩn bị,2026-03-06 12:56:07
256,256,Đang xử lý,2026-04-03 06:44:07
257,257,Đang xử lý,2026-03-20 04:46:07
258,258,Đang chuẩn bị,2026-05-08 21:43:07
259,259,Đang xử lý,2026-04-17 01:28:07
260,260,Đang chuẩn bị,2026-04-02 22:44:07
261,261,Đã giao,2026-03-24 16:53:07
262,262,Đã giao,2026-05-16 17:15:07
263,263,Đã giao,2026-05-07 10:02:07
264,264,Xác nhận,2026-04-09 04:49:07
265,265,Đã giao,2026-03-19 12:17:07
266,266,Đã hủy,2026-03-08 23:52:07
267,267,Đang xử lý,2026-05-01 05:33:07
268,268,Đang xử lý,2026-03-29 10:31:07
269,269,Đang xử lý,2026-04-05 04:56:07
270,270,Đang xử lý,2026-05-12 09:41:07
271,271,Đang xử lý,2026-04-17 14:52:07
272,272,Đang xử lý,2026-03-20 06:09:07
